СокращенноеНаименование;ПолноеНаименование;Специализация;ПрофильныйПредмет;ФормаОбучения;УровеньПодготовки;ОснованиеПоступления;ОсобенностиПриема;Факультет;КоличествоМест;Зачислено
ИиВТ(ПО) мг заочн платн;09.04.01. Информатика и вычислительная техника;Информационное и программное обеспечение вычислительных систем;Информатика и ИКТ;Заочная;Магистр;Полное возмещение затрат;Общие места;Факультет информационных технологий;10;0
ИиВТ(ПО) мг очн бюдж;09.04.01. Информатика и вычислительная техника;Информационное и программное обеспечение вычислительных систем, Компьютерный анализ и интерпретация данных;Информатика и ИКТ;Очная;Магистр;Бюджетная основа;Общие места;Факультет информационных технологий;15;15
ИиВТ(ПО) мг очн платн;09.04.01. Информатика и вычислительная техника;Информационное и программное обеспечение вычислительных систем, Компьютерный анализ и интерпретация данных;Информатика и ИКТ;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет информационных технологий;3;0
ИиВТ(ПО)_заочн_плат;09.03.01. Информатика и вычислительная техника;Программное обеспечение вычислительной техники и автоматизированных систем;Информатика и ИКТ;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;40;0
ИиВТ(ПО)_очн_бюдж;09.03.01. Информатика и вычислительная техника;Программное обеспечение вычислительной техники и автоматизированных систем;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;37;37
ИиВТ(ПО)_очн_льгот;09.03.01. Информатика и вычислительная техника;Программное обеспечение вычислительной техники и автоматизированных систем;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;1;1
ИиВТ(ПО)_очн_плат;09.03.01. Информатика и вычислительная техника;Программное обеспечение вычислительной техники и автоматизированных систем;Информатика и ИКТ;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;2;0
ИиВТ(ПО)_очн_целевое;09.03.01. Информатика и вычислительная техника;Программное обеспечение вычислительной техники и автоматизированных систем;Информатика и ИКТ;Очная;Академический бакалавр;Целевой прием;Целевые места;Факультет информационных технологий;2;2
ИиВТ(САПР) мг заочн платн;09.04.01. Информатика и вычислительная техника;Системы автоматизированного проектирования и информационной поддержки жизненного цикла промышленных изделий;Информатика и ИКТ;Заочная;Магистр;Полное возмещение затрат;Общие места;Факультет информационных технологий;5;0
ИиВТ(САПР) мг очн бюдж;09.04.01. Информатика и вычислительная техника;Системы автоматизированного проектирования и информационной поддержки жизненного цикла промышленных изделий;Информатика и ИКТ;Очная;Магистр;Бюджетная основа;Общие места;Факультет информационных технологий;6;6
ИиВТ(САПР) мг очн платн;09.04.01. Информатика и вычислительная техника;Системы автоматизированного проектирования и информационной поддержки жизненного цикла промышленных изделий;Информатика и ИКТ;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет информационных технологий;2;0
ИиВТ(САПР)_очн_бюдж;09.03.01. Информатика и вычислительная техника;Системы автоматизированного проектирования;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;16;16
ИиВТ(САПР)_очн_льгот;09.03.01. Информатика и вычислительная техника;Системы автоматизированного проектирования;Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;0;0
